time,number_of_comparisons
432,219
824,453
1229,682
1609,915
2087,1148
2441,1388
3013,1636
3291,1867
3727,2118
3969,2354
4349,2593
4775,2837
5152,3078
5461,3312
5874,3564
6228,3803
6528,4058
7012,4312
7339,4561
7663,4800
8195,5073
8687,5323
9133,5575
9597,5808
9965,6056
10018,6293
10462,6539
10825,6783
11226,7031
11400,7279
