time,number_of_comparisons
124,729
285,1601
443,2535
539,3346
706,4675
852,5984
1003,6873
1237,8400
1330,9391
1438,9868
1582,10862
1729,12493
1900,13675
2030,14426
2225,15958
2544,19136
2498,18411
2655,19592
2894,21865
3031,23130
3153,23302
3348,25407
3527,27019
3771,30246
3790,29308
4248,34027
4049,30214
4426,34272
4729,38263
4709,37328
