time,number_of_comparisons
430,241
831,487
1201,728
1626,968
2086,1212
2440,1456
2825,1702
3278,1948
3507,2197
3883,2431
4424,2672
5149,2924
5225,3164
5492,3400
6029,3652
6442,3890
6928,4144
7382,4379
7708,4622
8138,4855
8899,5094
9012,5335
9169,5579
9670,5818
9510,6047
9739,6281
10189,6521
10692,6772
11058,7024
11469,7260
