time,number_of_comparisons
278,6895
561,14403
1016,22779
1187,32161
1506,38208
1798,47241
2072,54059
2403,62760
2824,72357
3252,82765
3533,89678
3808,93305
4145,104863
4440,113644
4869,121299
5285,130867
5751,137914
5960,146436
6305,152112
6488,161559
6695,170032
7396,177738
7641,182688
8018,193412
8170,204123
8646,214120
9152,219947
9071,229145
9542,235268
10103,245119
