time,number_of_comparisons
65,612
141,1346
230,2066
312,2864
394,3735
478,4443
598,5236
658,6080
750,6978
846,7995
948,8798
1096,9467
1168,10449
1237,11179
1348,12138
1479,12957
1558,13835
1638,14943
1739,15876
1847,16979
1967,17961
2088,18595
2160,19220
2251,20140
2391,20797
2507,21975
2601,22770
2711,23708
2817,24657
2827,25687
