time,number_of_comparisons
279,7370
587,14914
893,23266
1228,32359
1670,42626
1894,49600
2364,57558
2617,66607
3013,76122
3392,82687
3761,91878
4288,99065
4478,106637
4789,116429
5063,125624
5413,133554
6116,143325
6543,152269
6719,161443
7372,169046
7658,177270
8166,188210
8369,191936
8847,203274
9589,213210
9647,223962
9598,229535
10113,236996
10451,246481
10815,254422
