time,number_of_comparisons
764,13937
2300,33140
4572,58703
8052,90343
11857,125937
16950,161041
24208,204040
29146,252744
36490,305955
44200,378089
54391,443195
64294,501092
73754,578952
84083,654583
95840,734072
109644,822192
123149,926666
140003,1015058
154775,1137096
170450,1255537
185100,1351299
200448,1463531
227152,1545940
252066,1712458
262152,1835872
279884,1980396
312113,2106555
327709,2285003
348756,2440908
391850,2582869
