time,number_of_comparisons
76,196
139,500
219,891
306,1337
393,1784
494,2328
601,2886
700,3477
815,4062
902,4640
1041,5175
1145,5903
1250,6475
1477,7194
1551,7943
1641,8458
1797,9381
1872,9904
2012,10923
2113,11312
2243,12278
2426,13087
2481,13489
2610,14527
2791,15228
2857,15931
2987,16949
3095,17654
3211,18210
3329,19087
