time,number_of_comparisons
90,342
179,708
263,1046
359,1466
456,1863
545,2154
632,2532
756,2899
856,3259
952,3708
1077,4067
1168,4295
1276,4641
1397,5070
1513,5418
1623,5945
1765,6246
1843,6673
1967,7078
2057,7522
2190,7951
2279,8181
2471,8449
2543,8744
2742,9059
2914,9403
3187,9873
3236,10277
3102,10622
3138,10914
