time,number_of_comparisons
130,610
240,1288
342,1919
460,2607
590,3286
668,3761
755,4377
886,5056
977,5760
1083,6316
1208,6856
1291,7491
1400,8228
1558,8724
1692,9704
1837,10509
1938,11014
2012,11706
2104,12186
2215,12656
2397,13334
2393,14039
2487,14652
2555,15035
2733,16079
2833,16829
2917,17131
3097,17764
3198,19030
3300,19432
