time,number_of_comparisons
168,646
306,1592
490,2312
576,3386
764,4552
953,5958
1134,6764
1278,8730
1368,9106
1499,9797
1697,11474
1928,12202
2129,13834
2306,15269
2527,16032
2664,17699
2915,19401
3392,22527
3195,20969
3339,22507
3436,23606
3682,25128
3937,26243
4123,30949
4035,27910
5002,29975
4619,31966
5685,33501
5744,34937
5293,38050
