time,number_of_comparisons
80,376
185,866
270,1295
366,1781
465,2190
577,2706
699,3290
804,3873
887,4337
1041,4835
1143,5515
1269,6046
1375,6591
1497,7309
1644,8180
1747,8752
1884,9293
2010,9995
2133,10568
2213,11222
2363,11801
2509,12551
2654,13363
3060,14017
2906,14773
3261,15265
3119,15966
3263,16687
3380,17464
3512,18327
