time,number_of_comparisons
107,450
211,1117
290,1524
400,2153
495,2679
624,3390
693,3867
806,4623
896,5026
994,5592
1148,6459
1239,7081
1315,7542
1510,8152
1641,8819
1728,9719
1836,10157
1940,10929
2063,11655
2182,12097
2263,13065
2374,13505
2544,14498
2652,15106
2731,15634
2839,16270
3016,17401
3080,18031
3122,18457
3377,19878
