time,number_of_comparisons
111,623
248,1533
401,2714
521,3508
647,4337
840,5833
993,6376
1118,7909
1316,9253
1422,10128
1625,11949
1781,13503
1989,14411
2056,14938
2254,15900
2381,16717
2734,19046
2905,21538
3150,20667
3135,22101
3295,23684
3525,25410
3703,28039
3870,29127
3884,29430
4240,32929
4099,30880
4549,36965
4717,36875
4762,36873
