time,number_of_comparisons
85,607
170,1487
268,2469
363,3624
473,4799
580,6042
688,7402
821,8767
917,10122
1024,11514
1166,12980
1314,14501
1393,16014
1503,17535
1621,19074
1733,20661
1853,22233
2029,23857
2153,25464
2236,27107
2359,28720
2545,30468
2640,32184
2802,33906
2947,35623
3089,37398
3206,39119
3411,40885
3450,42597
3561,44396
