time,number_of_comparisons
93,506
192,1162
307,1915
406,2696
535,3500
654,4357
815,5221
907,6123
1030,6998
1155,7888
1301,8834
1411,9766
1549,10712
1692,11748
1843,12653
1975,13679
2107,14672
2234,15607
2389,16607
2525,17656
2697,18645
2904,19679
3055,20643
3254,21771
3797,22777
3555,23812
3675,24842
5518,25921
5312,26868
5088,27956
