time,number_of_comparisons
575,177
1142,389
1408,603
1443,814
1741,1039
2010,1259
2193,1486
2425,1720
2972,1945
2822,2165
3281,2404
3530,2632
3609,2873
3985,3102
4355,3333
4516,3571
5066,3818
5800,4063
5733,4314
6365,4587
6968,4849
7479,5121
7895,5391
8401,5653
9304,5919
9492,6179
9809,6431
10268,6684
10967,6944
11525,7229
